ID,Data,Hora_Inicio,Hora_Fim,Modelo_Veiculo,Placa,kWh_Consumido,Preco_Total,Metodo_Pagamento,Potencia_kW,Tempo_Recarga_Min,Status_Conclusao,ID_Cliente,ID_Estacao
1,2025-01-01,08:15,09:45,Tesla Model 3,ABC1234,45.8,103.05,Cartão de Crédito,50,90,Completa,C1001,E01
2,2025-01-01,09:50,11:10,Renault Zoe,DEF5678,31.2,70.20,Aplicativo,22,80,Completa,C1002,E02
3,2025-01-01,10:30,12:45,Nissan Leaf,GHI9012,37.5,84.38,Cartão de Débito,50,135,Completa,C1003,E03
4,2025-01-01,11:45,13:00,BMW i3,JKL3456,25.8,58.05,Aplicativo,50,75,Completa,C1004,E01
5,2025-01-01,13:20,14:40,Volkswagen ID.4,MNO7890,42.3,95.18,Cartão de Crédito,100,80,Completa,C1005,E04
6,2025-01-01,15:00,16:15,Hyundai Kona,PQR1234,35.7,80.33,Cartão de Débito,50,75,Completa,C1006,E02
7,2025-01-01,16:30,17:45,Audi e-tron,STU5678,65.2,146.70,Aplicativo,150,75,Completa,C1007,E05
8,2025-01-01,18:00,19:30,Chevrolet Bolt,VWX9012,40.5,91.13,Cartão de Crédito,50,90,Completa,C1008,E03
9,2025-01-01,19:45,21:00,Kia e-Niro,YZA3456,38.9,87.53,Aplicativo,50,75,Completa,C1009,E01
10,2025-01-02,07:30,08:45,Peugeot e-208,BCD7890,32.4,72.90,Cartão de Débito,50,75,Completa,C1010,E02
11,2025-01-02,08:50,10:20,Tesla Model Y,EFG1234,58.7,132.08,Aplicativo,150,90,Completa,C1011,E05
12,2025-01-02,09:30,10:45,Fiat 500e,HIJ5678,24.6,55.35,Cartão de Crédito,50,75,Completa,C1012,E03
13,2025-01-02,11:00,12:30,Porsche Taycan,KLM9012,78.3,176.18,Aplicativo,350,90,Completa,C1013,E06
14,2025-01-02,12:45,14:00,Mini Electric,NOP3456,27.8,62.55,Cartão de Débito,50,75,Completa,C1014,E01
